,Date,Bank_Holiday_Description
0,1953-01-01,New Year's Day
1,1953-04-03,Good Friday
2,1953-04-05,Easter Day
3,1953-04-06,Easter Monday
4,1953-05-04,May Day
5,1953-05-25,Spring Bank Holiday
6,1953-08-31,Summer Bank Holiday
7,1953-12-25,Christmas Day
8,1953-12-26,Boxing Day
9,1953-12-28,Bank Holiday
10,1954-01-01,New Year's Day
11,1954-04-16,Good Friday
12,1954-04-18,Easter Day
13,1954-04-19,Easter Monday
14,1954-05-03,May Day
15,1954-05-31,Spring Bank Holiday
16,1954-08-30,Summer Bank Holiday
17,1954-12-25,Christmas Day
18,1954-12-26,Boxing Day
19,1954-12-27,Bank Holiday
20,1954-12-28,Bank Holiday
